date,decision_byd_weight,decision_etf_weight,decision_cash_weight,position_byd_weight,position_etf_weight,position_cash_weight,common_open_eligible,byd_return,etf_return,gross_return,turnover_units,cost,financing_cost,borrowed_weight,net_return
2020-06-17,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.00312494,0.00103089,-0.00312494,0.00000000,0.00000000,0.00000000,0.00000000,-0.00312494
2020-06-18,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.04529772,0.00720903,0.04529772,0.00000000,0.00000000,0.00000000,0.00000000,0.04529772
2020-06-19,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.00134932,0.00409002,-0.00134932,0.00000000,0.00000000,0.00000000,0.00000000,-0.00134932
2020-06-22,1.15000000,0.00000000,-0.15000000,1.00000000,0.00000000,0.00000000,True,0.01456446,-0.00305501,0.01456446,0.00000000,0.00000000,0.00000000,0.00000000,0.01456446
2020-06-23,1.15000000,0.00000000,-0.15000000,1.15000000,0.00000000,-0.15000000,True,0.05224216,-0.00102147,0.06007848,0.30000000,0.00060000,0.00003571,0.15000000,0.05944277
2020-06-24,1.15000000,0.00000000,-0.15000000,1.15000000,0.00000000,-0.15000000,True,0.00562569,0.00306753,0.00646955,0.00000000,0.00000000,0.00003571,0.15000000,0.00643383
2020-06-29,1.15000000,0.00000000,-0.15000000,1.15000000,0.00000000,-0.15000000,True,-0.00125854,-0.00305819,-0.00144732,0.00000000,0.00000000,0.00003571,0.15000000,-0.00148303
2020-06-30,1.15000000,0.00000000,-0.15000000,1.15000000,0.00000000,-0.15000000,True,0.02520647,0.00613506,0.02898744,0.00000000,0.00000000,0.00003571,0.15000000,0.02895172
2020-07-01,1.15000000,0.00000000,-0.15000000,1.15000000,0.00000000,-0.15000000,True,-0.00792245,0.01829269,-0.00911081,0.00000000,0.00000000,0.00003571,0.15000000,-0.00914653
2020-07-02,1.15000000,0.00000000,-0.15000000,1.15000000,0.00000000,-0.15000000,True,0.00922481,0.02495005,0.01060853,0.00000000,0.00000000,0.00003571,0.15000000,0.01057282
2020-07-03,1.00000000,0.00000000,0.00000000,1.15000000,0.00000000,-0.15000000,True,0.08226474,0.01265824,0.09460445,0.00000000,0.00000000,0.00003571,0.15000000,0.09456874
2020-07-06,1.15000000,0.00000000,-0.15000000,1.00000000,0.00000000,0.00000000,True,0.06844817,0.08461549,0.06844817,0.30000000,0.00060000,0.00000000,0.00000000,0.06784817
2020-07-07,1.15000000,0.00000000,-0.15000000,1.15000000,0.00000000,-0.15000000,True,-0.03327039,-0.03723407,-0.03826095,0.30000000,0.00060000,0.00003571,0.15000000,-0.03889667
2020-07-08,1.15000000,0.00000000,-0.15000000,1.15000000,0.00000000,-0.15000000,True,0.00988519,0.01381217,0.01136797,0.00000000,0.00000000,0.00003571,0.15000000,0.01133225
2020-07-09,1.15000000,0.00000000,-0.15000000,1.15000000,0.00000000,-0.15000000,True,0.02078555,0.01180745,0.02390339,0.00000000,0.00000000,0.00003571,0.15000000,0.02386767
2020-07-10,1.00000000,0.00000000,0.00000000,1.15000000,0.00000000,-0.15000000,True,0.09624743,-0.01885102,0.11068454,0.00000000,0.00000000,0.00003571,0.15000000,0.11064883
2020-07-13,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.05723524,0.02836230,0.05723524,0.30000000,0.00060000,0.00000000,0.00000000,0.05663524
2020-07-14,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.00919302,-0.00622780,-0.00919302,0.00000000,0.00000000,0.00000000,0.00000000,-0.00919302
2020-07-15,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.02680420,-0.01521918,-0.02680420,0.00000000,0.00000000,0.00000000,0.00000000,-0.02680420
2020-07-16,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.12055080,-0.02909095,-0.12055080,0.00000000,0.00000000,0.00000000,0.00000000,-0.12055080
2020-07-17,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.00819070,0.00749055,0.00819070,0.00000000,0.00000000,0.00000000,0.00000000,0.00819070
2020-07-20,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.07407418,0.05204463,0.07407418,0.00000000,0.00000000,0.00000000,0.00000000,0.07407418
2020-07-21,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.04338151,-0.01325086,-0.04338151,0.00000000,0.00000000,0.00000000,0.00000000,-0.04338151
2020-07-22,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.00069770,-0.00268582,0.00069770,0.00000000,0.00000000,0.00000000,0.00000000,0.00069770
2020-07-23,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.01998610,-0.00628362,0.01998610,0.00000000,0.00000000,0.00000000,0.00000000,0.01998610
2020-07-24,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.04875832,-0.02890690,-0.04875832,0.00000000,0.00000000,0.00000000,0.00000000,-0.04875832
2020-07-27,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.02970061,-0.00837211,0.02970061,0.00000000,0.00000000,0.00000000,0.00000000,0.02970061
2020-07-28,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.03105372,0.00844282,-0.03105372,0.00000000,0.00000000,0.00000000,0.00000000,-0.03105372
2020-07-29,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.04453239,0.01581384,0.04453239,0.00000000,0.00000000,0.00000000,0.00000000,0.04453239
2020-07-30,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.02367280,0.00091589,-0.02367280,0.00000000,0.00000000,0.00000000,0.00000000,-0.02367280
2020-07-31,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.00529677,0.00823407,0.00529677,0.00000000,0.00000000,0.00000000,0.00000000,0.00529677
2020-08-03,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.01803066,0.02087118,0.01803066,0.00000000,0.00000000,0.00000000,0.00000000,0.01803066
2020-08-04,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.02357667,0.00266669,0.02357667,0.00000000,0.00000000,0.00000000,0.00000000,0.02357667
2020-08-05,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.00213471,0.00000000,-0.00213471,0.00000000,0.00000000,0.00000000,0.00000000,-0.00213471
2020-08-06,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.01362459,-0.00000009,-0.01362459,0.00000000,0.00000000,0.00000000,0.00000000,-0.01362459
2020-08-07,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.04349313,-0.00797867,-0.04349313,0.00000000,0.00000000,0.00000000,0.00000000,-0.04349313
2020-08-10,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.02255648,0.01519216,-0.02255648,0.00000000,0.00000000,0.00000000,0.00000000,-0.02255648
2020-08-11,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.00879114,-0.00880287,-0.00879114,0.00000000,0.00000000,0.00000000,0.00000000,-0.00879114
2020-08-12,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.02857848,-0.00710476,0.02857848,0.00000000,0.00000000,0.00000000,0.00000000,0.02857848
2020-08-13,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.01676645,0.00626116,-0.01676645,0.00000000,0.00000000,0.00000000,0.00000000,-0.01676645
2020-08-14,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.00121791,0.00799992,0.00121791,0.00000000,0.00000000,0.00000000,0.00000000,0.00121791
2020-08-17,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.02275960,0.01763690,0.02275960,0.00000000,0.00000000,0.00000000,0.00000000,0.02275960
2020-08-18,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.03106767,0.01039862,-0.03106767,0.00000000,0.00000000,0.00000000,0.00000000,-0.03106767
2020-08-19,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.02162165,-0.01286465,-0.02162165,0.00000000,0.00000000,0.00000000,0.00000000,-0.02162165
2020-08-20,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.00452024,-0.00781940,0.00452024,0.00000000,0.00000000,0.00000000,0.00000000,0.00452024
2020-08-21,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,-0.00124997,0.00000011,-0.00124997,0.00000000,0.00000000,0.00000000,0.00000000,-0.00124997
2020-08-24,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.01376727,0.00525401,0.01376727,0.00000000,0.00000000,0.00000000,0.00000000,0.01376727
2020-08-25,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,True,0.01234560,0.00087106,0.01234560,0.00000000,0.00000000,0.00000000,0.00000000,0.01234560
