date,volume,session_status,secondary_status,secondary_open_return_difference,open_research_eligible
2021-04-01,8343300.000000000000,traded,common,0.000000080005,True
2021-04-02,9563268.000000000000,traded,common,0.000000007905,True
2021-04-06,11161555.000000000000,traded,common,0.001702215040,True
2021-04-07,19290000.000000000000,traded,common,0.001721235700,True
2021-04-08,16789300.000000000000,traded,common,0.000000007838,True
2021-04-09,11912669.000000000000,traded,common,0.000000083131,True
2021-04-12,13912521.000000000000,traded,common,0.000000061613,True
2021-04-13,13018602.000000000000,traded,common,0.000000061508,True
2021-04-14,8850300.000000000000,traded,common,0.000000070906,True
2021-04-15,10167800.000000000000,traded,common,0.000000003952,True
2021-04-16,12248900.000000000000,traded,common,0.000000057998,True
2021-04-19,13666590.000000000000,traded,common,0.000000009514,True
2021-04-20,16304634.000000000000,traded,common,0.000000013453,True
2021-04-21,13027304.000000000000,traded,common,0.000000060689,True
2021-04-22,16201628.000000000000,traded,common,0.000000043003,True
2021-04-23,15664000.000000000000,traded,common,0.000000064938,True
2021-04-26,14342300.000000000000,traded,common,0.000000081898,True
2021-04-27,14956796.000000000000,traded,common,0.000000013273,True
2021-04-28,9622600.000000000000,traded,common,0.000000000000,True
2021-04-29,13281400.000000000000,traded,common,0.000000013453,True
2021-04-30,19234900.000000000000,traded,common,0.000000047416,True
2021-05-06,15070300.000000000000,traded,common,0.000000003947,True
2021-05-07,16779600.000000000000,traded,common,0.000000023052,True
2021-05-10,21175853.000000000000,traded,common,0.000000038284,True
2021-05-11,19228000.000000000000,traded,common,0.000000013397,True
2021-05-12,13313163.000000000000,traded,common,0.000000007760,True
2021-05-13,13357400.000000000000,traded,common,0.000000007888,True
2021-05-14,15402563.000000000000,traded,common,0.000000009343,True
2021-05-17,17384400.000000000000,traded,common,0.000000051929,True
2021-05-18,20108737.000000000000,traded,common,0.000000055232,True
2021-05-19,9196446.000000000000,traded,common,0.000000013397,True
2021-05-20,20102000.000000000000,traded,common,0.000000038086,True
2021-05-21,12986400.000000000000,traded,common,0.000000063953,True
2021-05-24,10419400.000000000000,traded,common,0.000000056007,True
2021-05-25,12409000.000000000000,traded,common,0.000000046514,True
2021-05-26,14780100.000000000000,traded,common,0.000000005729,True
2021-05-27,11636300.000000000000,traded,common,0.000000033849,True
2021-05-28,26431654.000000000000,traded,common,0.000000024569,True
2021-05-31,23815550.000000000000,traded,common,0.000000016727,True
2021-06-01,12170044.000000000000,traded,common,0.000000029453,True
2021-06-02,19312246.000000000000,traded,common,0.000000064995,True
2021-06-03,20144866.000000000000,traded,common,0.000000012806,True
2021-06-04,12485501.000000000000,traded,common,0.000000000000,True
2021-06-07,10712522.000000000000,traded,common,0.000000023798,True
2021-06-08,13038500.000000000000,traded,common,0.000000000000,True
2021-06-09,18103685.000000000000,traded,common,0.000000012888,True
2021-06-10,19153239.000000000000,traded,common,0.000000033498,True
2021-06-11,16290932.000000000000,traded,common,0.000000003811,True
