,model,cost_bps,window,sessions,years,total_return,cagr,annual_volatility,sharpe,max_drawdown,calmar,turnover_units,round_trips_per_year,mean_byd_weight,mean_etf_weight
50,v1_dividend_75_25,40.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.087949925104,0.057183504701,0.322586381623,0.331629145797,-0.374794529148,0.152572943983,3.000000000000,0.989528795812,0.854712041885,0.145287958115
51,v1_dividend_75_25,40.000000000000,full_overlap,1609.000000000000,6.384920634921,5.636575415101,0.345030298437,0.426422053936,0.906650978406,-0.493005596449,0.699850672937,13.500000000000,1.057178371659,0.891081417029,0.104568054692
52,recovery_75_25,40.000000000000,development,743.000000000000,2.948412698413,4.347752909456,0.765918380666,0.533541185382,1.332003039854,-0.435532758056,1.758578124144,11.000000000000,1.865410497981,0.930349932705,0.060228802153
53,recovery_75_25,40.000000000000,fixed_validation,484.000000000000,1.920634920635,0.112001471393,0.056830335985,0.311941003883,0.330533389475,-0.427781981355,0.132848830624,7.500000000000,1.952479338843,0.905475206612,0.094524793388
54,recovery_75_25,40.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.073712457090,0.048036411770,0.328490458403,0.304793020404,-0.382976287047,0.125429206440,5.000000000000,1.649214659686,0.867801047120,0.132198952880
55,recovery_75_25,40.000000000000,full_overlap,1609.000000000000,6.384920634921,5.385055643615,0.336915943467,0.432096434911,0.886286039413,-0.509081476719,0.661811436625,23.500000000000,1.840273461778,0.908017402113,0.087632069608
56,recovery_50_50,40.000000000000,development,743.000000000000,2.948412698413,4.026414788974,0.729189787225,0.519242605282,1.313719050866,-0.405997361131,1.796045632397,20.000000000000,3.391655450875,0.870121130552,0.120457604307
57,recovery_50_50,40.000000000000,fixed_validation,484.000000000000,1.920634920635,0.096747352317,0.049257170880,0.295788078835,0.307678802846,-0.398043378039,0.123748248552,15.000000000000,3.904958677686,0.810950413223,0.189049586777
58,recovery_50_50,40.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.111295635806,0.072094690238,0.314883165216,0.376168777240,-0.334531427242,0.215509468967,10.000000000000,3.298429319372,0.735602094241,0.264397905759
59,recovery_50_50,40.000000000000,full_overlap,1609.000000000000,6.384920634921,5.126247354433,0.328280001441,0.417959421571,0.886434883666,-0.490234688856,0.669638458689,45.000000000000,3.523927905531,0.820385332505,0.175264139217
60,binary_100_0,40.000000000000,development,743.000000000000,2.948412698413,3.309358769582,0.641235540726,0.509936922547,1.225758948750,-0.374074874397,1.714190352292,38.000000000000,6.444145356662,0.749663526245,0.240915208614
61,binary_100_0,40.000000000000,fixed_validation,484.000000000000,1.920634920635,0.051915895644,0.026702600853,0.287315462701,0.232529536313,-0.374674663363,0.071268765850,30.000000000000,7.809917355372,0.621900826446,0.378099173554
62,binary_100_0,40.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.178724093505,0.114575758062,0.307732596759,0.504023458519,-0.242699341188,0.472089283395,20.000000000000,6.596858638743,0.471204188482,0.528795811518
63,binary_100_0,40.000000000000,full_overlap,1609.000000000000,6.384920634921,4.343254137883,0.300134355605,0.409467274353,0.843924238815,-0.488221066224,0.614750932250,88.000000000000,6.891236793039,0.645121193288,0.350528278434
