attribution_type,date,window,evaluation,instrument,entity,sector,state,value,gross_return,weight,periods,transaction_cost
position,2025-08-26,2025H2,historical,300548,长芯博创,Technology,risk_on,-0.03167563425,-0.124702537,0.25,,
position,2025-08-26,2025H2,historical,600406,国电南瑞,Industrials,risk_on,0.001834275936,0.009337103745,0.25,,
position,2025-08-26,2025H2,historical,600519,贵州茅台,Consumer Staples,risk_on,0.01227826523,0.05111306091,0.25,,
position,2025-08-26,2025H2,historical,601985,中国核电,Utilities,risk_on,-0.008936450483,-0.03374580193,0.25,,
position,2025-09-09,2025H2,historical,000538,云南白药,Health Care,risk_on,-0.003454657722,-0.01181863089,0.25,,
position,2025-09-09,2025H2,historical,002709,天赐材料,Materials,risk_on,0.04959058522,0.2003623409,0.25,,
position,2025-09-09,2025H2,historical,600184,光电股份,Industrials,risk_on,-0.001333789143,-0.003335156571,0.25,,
position,2025-09-09,2025H2,historical,601138,工业富联,Technology,risk_on,0.06914184498,0.2785673799,0.25,,
position,2025-09-23,2025H2,historical,002222,福晶科技,Technology,risk_on,-0.03785089473,-0.1494035789,0.25,,
position,2025-09-23,2025H2,historical,002460,赣锋锂业,Materials,risk_on,0.04519940937,0.1827976375,0.25,,
position,2025-09-23,2025H2,historical,002602,世纪华通,Communication Services,risk_on,-0.02137331764,-0.08349327056,0.25,,
position,2025-09-23,2025H2,historical,688676,金盘科技,Industrials,risk_on,0.06618447108,0.2667378843,0.25,,
position,2025-10-15,2025H2,historical,002007,华兰生物,Health Care,risk_on,-0.001481040219,-0.003924160874,0.25,,
position,2025-10-15,2025H2,historical,300548,长芯博创,Technology,risk_on,0.02012042014,0.08248168056,0.25,,
position,2025-10-15,2025H2,historical,600019,宝钢股份,Materials,risk_on,0.002751450563,0.01300580225,0.25,,
position,2025-10-15,2025H2,historical,600406,国电南瑞,Industrials,risk_on,0.00409009718,0.01836038872,0.25,,
position,2025-10-29,2025H2,historical,000338,潍柴动力,Industrials,risk_on,0.06113435807,0.2465374323,0.25,,
position,2025-10-29,2025H2,historical,000651,格力电器,Consumer Discretionary,risk_on,0.00279280942,0.01317123768,0.25,,
position,2025-10-29,2025H2,historical,002142,宁波银行,Financials,risk_on,0.01815391606,0.07461566425,0.25,,
position,2025-10-29,2025H2,historical,601138,工业富联,Technology,risk_on,-0.03249192773,-0.1279677109,0.25,,
position,2025-11-12,2025H2,historical,000063,中兴通讯,Technology,risk_on,0.01178913992,0.0481565597,0.25,,
position,2025-11-12,2025H2,historical,000651,格力电器,Consumer Discretionary,risk_on,-0.004312509538,-0.01625003815,0.25,,
position,2025-11-12,2025H2,historical,002142,宁波银行,Financials,risk_on,-0.01089200384,-0.04256801535,0.25,,
position,2025-11-12,2025H2,historical,601919,中远海控,Industrials,risk_on,-0.01436960749,-0.05647842995,0.25,,
position,2025-11-26,2025H2,historical,002460,赣锋锂业,Materials,risk_on,0.006496738715,0.02798695486,0.25,,
position,2025-11-26,2025H2,historical,301291,明阳电气,Industrials,risk_on,0.0105537907,0.0442151628,0.25,,
position,2025-11-26,2025H2,historical,600519,贵州茅台,Consumer Staples,risk_on,-0.006599981095,-0.02439992438,0.25,,
position,2025-11-26,2025H2,historical,688525,佰维存储,Technology,risk_on,0.03023889483,0.1229555793,0.25,,
position,2025-12-10,2025H2,historical,000333,美的集团,Consumer Discretionary,risk_on,-0.002717362195,-0.00886944878,0.25,,
position,2025-12-10,2025H2,historical,002466,天齐锂业,Materials,risk_on,0.01094067973,0.04576271893,0.25,,
position,2025-12-10,2025H2,historical,601138,工业富联,Technology,risk_on,0.01725509581,0.07102038325,0.25,,
position,2025-12-10,2025H2,historical,601872,招商轮船,Industrials,risk_on,0.02118527848,0.08674111393,0.25,,
position,2025-12-24,2025H2,historical,000538,云南白药,Health Care,risk_on,8.96274975e-05,0.00235850999,0.25,,
position,2025-12-24,2025H2,historical,002837,英维克,Industrials,risk_on,-0.0247125215,-0.09685008599,0.25,,
position,2025-12-24,2025H2,historical,600030,中信证券,Financials,risk_on,-0.002007092834,-0.006028371337,0.25,,
position,2025-12-24,2025H2,historical,601985,中国核电,Utilities,risk_on,0.01258138922,0.0523255569,0.25,,
position,2026-01-05,2026H1,reporting,002001,新和成,Materials,risk_on,0.01879260592,0.07717042368,0.25,,
position,2026-01-05,2026H1,reporting,002050,三花智控,Industrials,risk_on,0.004558570227,0.02023428091,0.25,,
position,2026-01-05,2026H1,reporting,600030,中信证券,Financials,risk_on,-0.01818707441,-0.07074829764,0.25,,
position,2026-01-05,2026H1,reporting,688521,芯原股份,Technology,risk_on,0.06247042165,0.2518816866,0.25,,
position,2026-01-19,2026H1,reporting,002202,金风科技,Industrials,risk_on,0.01017757487,0.04221029946,0.25,,
position,2026-01-19,2026H1,reporting,601698,中国卫通,Communication Services,risk_on,0.02275813087,0.09253252349,0.25,,
position,2026-01-19,2026H1,reporting,603993,洛阳钼业,Materials,risk_on,0.0002843347905,0.002637339162,0.25,,
position,2026-01-19,2026H1,reporting,688521,芯原股份,Technology,risk_on,0.0539786615,0.217414646,0.25,,
