variant_id,cost_bps,total_return,benchmark_return,relative_excess,max_drawdown,turnover,positive_excess_windows,precision_at_k,portfolio_benchmark_hit_rate,maximum_name_absolute_contribution_share,maximum_sector_absolute_contribution_share,top_contributor_name,top_contributor_sector,ranking_id,feature_family,leave_one_name_relative_excess,leave_one_sector_relative_excess,relative_excess_40bps,support_gate_pass
sector_5x1,20,0.9792423352,0.3929238159,0.4209264804,-0.1789845508,42.8,4,0.5,0.54,0.06916814109,0.3257972443,600438,Materials,r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,0.317047277,0.09668995057,0.305636928,True
global_top10,20,0.9526931355,0.3929238159,0.4018664288,-0.211961492,36.8,4,0.492,0.56,0.0554388233,0.4386212208,300033,Technology,r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,0.3688517622,0.1795237218,0.3035180971,True
global_top15,20,0.8471379916,0.3929238159,0.326086876,-0.216032655,33.4,4,0.476,0.52,0.05451214536,0.4693932001,002837,Technology,r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,0.3064440215,0.1219569116,0.241191605,True
global_top8,20,0.8424736862,0.3929238159,0.3227383042,-0.1987278731,39.625,3,0.4975,0.52,0.07093538206,0.3445292151,002602,Technology,r4_two_stage_hierarchical_rank,momentum_reversal,0.2644881606,0.09947747788,0.2228462936,True
sector_3x2,20,0.8225418794,0.3929238159,0.3084289741,-0.2665480763,41.5,3,0.4833333333,0.56,0.07962487949,0.4898129635,688521,Technology,r2_industry_relative_rank,current_cn_ohlcv,0.1208370893,0.04423073493,0.2049281397,True
sector_3x1,20,0.8144338529,0.3929238159,0.3026081054,-0.2543544368,44,3,0.5133333333,0.48,0.1133539363,0.4186593303,688521,Technology,r2_industry_relative_rank,current_cn_ohlcv,0.08552220244,0.1995035026,0.1937260887,True
global_top5_sector_cap2,20,0.7380216475,0.3929238159,0.2477506864,-0.2203390393,41.4,3,0.472,0.52,0.07354313667,0.3926084111,688521,Industrials,r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,0.1742502356,0.1339615966,0.1493242176,True
global_top5_sector_cap2,20,0.6880011595,0.3929238159,0.2118402602,-0.3283033564,42.8,3,0.48,0.56,0.09044634342,0.479532852,688521,Technology,r2_industry_relative_rank,current_cn_ohlcv,0.3250131633,0.2598018028,0.1130388913,True
sector_3x1,20,0.687780688,0.3929238159,0.2116819805,-0.2446582771,44,4,0.48,0.5,0.09435888326,0.3835305254,600438,Materials,r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,0.1283306882,0.310126234,0.1102241461,True
sector_3x2,20,0.5904666408,0.3929238159,0.1418188293,-0.2516951892,41.16666667,4,0.4833333333,0.44,0.05553779876,0.4370337215,301308,Industrials,r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,0.06038903471,0.3323698898,0.05208111246,True
sector_3x1,20,1.703534516,0.3929238159,0.9409062328,-0.2618251928,44.33333333,3,0.5133333333,0.58,0.1063012592,0.5566817185,301308,Technology,r2_industry_relative_rank,momentum_reversal,0.4907856705,0.06067879053,0.7780360966,False
sector_3x1,20,1.471271695,0.3929238159,0.7741614196,-0.2754347149,42.66666667,3,0.5066666667,0.52,0.1146731557,0.6870048904,301308,Technology,r4_two_stage_hierarchical_rank,momentum_reversal,0.3627110763,-0.07911264939,0.6303305652,False
global_top5_sector_cap1,20,1.18896047,0.3929238159,0.5714861397,-0.212474572,41.8,2,0.5,0.58,0.08148312328,0.498213249,301308,Technology,r2_industry_relative_rank,momentum_reversal,0.3338972634,0.0003630060255,0.4466634888,False
global_top10,20,1.187861579,0.3929238159,0.57069723,-0.2936383113,35.8,4,0.498,0.54,0.06163626706,0.5501863894,601698,Technology,r2_industry_relative_rank,current_cn_ohlcv,0.4632763871,0.4015975044,0.4632394381,False
