factor_a,factor_b,rank_correlation
reversal_1,downside_volatility_60,-0.04080862391
reversal_1,idiosyncratic_volatility_60,-0.02020862047
reversal_1,intraday_range_20,-0.02001662115
reversal_1,drawdown_20,-0.3541418753
reversal_1,drawdown_63,-0.2214869687
reversal_1,recovery_from_low_20,-0.3066973636
reversal_1,recovery_from_low_63,-0.1695078643
reversal_1,amihud_20,-0.01495120253
reversal_1,amount_stability_20,0.01661578631
reversal_1,residual_momentum_20,-0.1723558573
reversal_1,residual_momentum_60,-0.1012904773
reversal_3,momentum_5,-0.7176808795
reversal_3,momentum_10,-0.479734453
reversal_3,momentum_20,-0.3320965932
reversal_3,momentum_63,-0.1743223677
reversal_3,momentum_126,-0.1264793954
reversal_3,trend_efficiency_20,-0.05281602331
reversal_3,trend_efficiency_60,-0.04907686217
reversal_3,positive_day_ratio_20,-0.2556268028
reversal_3,positive_day_ratio_60,-0.1354892077
reversal_3,reversal_1,0.5065877962
reversal_3,reversal_3,1
reversal_3,reversal_5,0.7176808795
reversal_3,distance_high_20,-0.5272088337
reversal_3,distance_high_60,-0.3561904785
reversal_3,distance_low_20,-0.4983721734
reversal_3,price_to_ma20,-0.5562515579
reversal_3,price_to_ma60,-0.3178013378
reversal_3,volume_ratio_5,-0.2346587013
reversal_3,volume_ratio_20,-0.2823742812
reversal_3,amount_ratio_20,-0.3341983029
reversal_3,volume_price_confirmation_20,-0.1591030274
reversal_3,up_down_volume_ratio_20,-0.2921103077
reversal_3,volatility_10,0.04434791821
reversal_3,volatility_20,0.01892819577
reversal_3,volatility_60,-0.005406514105
reversal_3,downside_volatility_20,-0.1088343472
reversal_3,downside_volatility_60,-0.05194325034
reversal_3,idiosyncratic_volatility_60,-0.004994912589
reversal_3,intraday_range_20,0.002978635581
reversal_3,drawdown_20,-0.5272088337
reversal_3,drawdown_63,-0.3504818484
reversal_3,recovery_from_low_20,-0.4983721734
reversal_3,recovery_from_low_63,-0.2920682663
reversal_3,amihud_20,-0.019948542
reversal_3,amount_stability_20,0.05779016428
reversal_3,residual_momentum_20,-0.3218599075
reversal_3,residual_momentum_60,-0.1791777266
reversal_5,momentum_5,-1
reversal_5,momentum_10,-0.6396079004
reversal_5,momentum_20,-0.4437855215
reversal_5,momentum_63,-0.2274739315
reversal_5,momentum_126,-0.1650068698
reversal_5,trend_efficiency_20,-0.0602906843
reversal_5,trend_efficiency_60,-0.06770874064
reversal_5,positive_day_ratio_20,-0.3182032809
reversal_5,positive_day_ratio_60,-0.1652314686
reversal_5,reversal_1,0.3771100724
reversal_5,reversal_3,0.7176808795
reversal_5,reversal_5,1
reversal_5,distance_high_20,-0.6060946518
reversal_5,distance_high_60,-0.4250415085
reversal_5,distance_low_20,-0.6000231623
reversal_5,price_to_ma20,-0.7016034271
reversal_5,price_to_ma60,-0.4114999079
reversal_5,volume_ratio_5,-0.1273213037
reversal_5,volume_ratio_20,-0.2943740553
reversal_5,amount_ratio_20,-0.3662388605
reversal_5,volume_price_confirmation_20,-0.1505492111
reversal_5,up_down_volume_ratio_20,-0.3724041137
reversal_5,volatility_10,0.08636210609
reversal_5,volatility_20,0.04515989757
reversal_5,volatility_60,0.008656449858
reversal_5,downside_volatility_20,-0.1278091578
reversal_5,downside_volatility_60,-0.05478037687
reversal_5,idiosyncratic_volatility_60,0.01014267781
reversal_5,intraday_range_20,0.02501449494
reversal_5,drawdown_20,-0.6060946518
reversal_5,drawdown_63,-0.4188054081
reversal_5,recovery_from_low_20,-0.6000231623
reversal_5,recovery_from_low_63,-0.3658835059
reversal_5,amihud_20,-0.02309215286
reversal_5,amount_stability_20,0.08783295962
reversal_5,residual_momentum_20,-0.4291726795
reversal_5,residual_momentum_60,-0.2318852635
distance_high_20,momentum_5,0.6060946518
distance_high_20,momentum_10,0.6821782754
distance_high_20,momentum_20,0.6167207174
distance_high_20,momentum_63,0.2222303425
distance_high_20,momentum_126,0.1289472877
distance_high_20,trend_efficiency_20,-0.03333782853
distance_high_20,trend_efficiency_60,0.01287140609
distance_high_20,positive_day_ratio_20,0.430239636
distance_high_20,positive_day_ratio_60,0.1745865141
distance_high_20,reversal_1,-0.3541418753
distance_high_20,reversal_3,-0.5272088337
distance_high_20,reversal_5,-0.6060946518
distance_high_20,distance_high_20,1
distance_high_20,distance_high_60,0.7022660309
distance_high_20,distance_low_20,0.4725541727
distance_high_20,price_to_ma20,0.7719340756
distance_high_20,price_to_ma60,0.4838177028
distance_high_20,volume_ratio_5,0.1343933721
distance_high_20,volume_ratio_20,0.2776617977
distance_high_20,amount_ratio_20,0.3604027061
distance_high_20,volume_price_confirmation_20,0.0292871469
distance_high_20,up_down_volume_ratio_20,0.5148218096
distance_high_20,volatility_10,0.204176477
distance_high_20,volatility_20,0.3030666853
distance_high_20,volatility_60,0.331593512
distance_high_20,downside_volatility_20,0.5276798476
distance_high_20,downside_volatility_60,0.3890153087
distance_high_20,idiosyncratic_volatility_60,0.2977404611
distance_high_20,intraday_range_20,0.2873950639
distance_high_20,drawdown_20,1
distance_high_20,drawdown_63,0.6907458132
distance_high_20,recovery_from_low_20,0.4725541727
distance_high_20,recovery_from_low_63,0.250024791
distance_high_20,amihud_20,0.1099767654
distance_high_20,amount_stability_20,0.04215919263
distance_high_20,residual_momentum_20,0.6243320758
distance_high_20,residual_momentum_60,0.2646697729
distance_high_60,momentum_5,0.4250415085
distance_high_60,momentum_10,0.5226928809
distance_high_60,momentum_20,0.6223341038
distance_high_60,momentum_63,0.5442356536
distance_high_60,momentum_126,0.3152667408
distance_high_60,trend_efficiency_20,0.07145961066
distance_high_60,trend_efficiency_60,0.004785264718
distance_high_60,positive_day_ratio_20,0.3934333714
distance_high_60,positive_day_ratio_60,0.3498695489
distance_high_60,reversal_1,-0.2254805083
distance_high_60,reversal_3,-0.3561904785
distance_high_60,reversal_5,-0.4250415085
distance_high_60,distance_high_20,0.7022660309
distance_high_60,distance_high_60,1
distance_high_60,distance_low_20,0.4113984283
distance_high_60,price_to_ma20,0.6195921453
distance_high_60,price_to_ma60,0.7381793315
distance_high_60,volume_ratio_5,0.06189868833
distance_high_60,volume_ratio_20,0.1542795208
distance_high_60,amount_ratio_20,0.2262697859
distance_high_60,volume_price_confirmation_20,-0.004241306965
distance_high_60,up_down_volume_ratio_20,0.4661945024
distance_high_60,volatility_10,0.1428381262
distance_high_60,volatility_20,0.211081746
distance_high_60,volatility_60,0.3404992595
distance_high_60,downside_volatility_20,0.433470001
distance_high_60,downside_volatility_60,0.4847630224
distance_high_60,idiosyncratic_volatility_60,0.2597725075
distance_high_60,intraday_range_20,0.1984738458
distance_high_60,drawdown_20,0.7022660309
distance_high_60,drawdown_63,0.993045788
distance_high_60,recovery_from_low_20,0.4113984283
distance_high_60,recovery_from_low_63,0.3888800767
distance_high_60,amihud_20,0.1598573541
distance_high_60,amount_stability_20,-0.05773719344
distance_high_60,residual_momentum_20,0.6327139753
distance_high_60,residual_momentum_60,0.5902211434
distance_low_20,momentum_5,0.6000231623
distance_low_20,momentum_10,0.734329425
distance_low_20,momentum_20,0.7413791302
distance_low_20,momentum_63,0.4358464519
distance_low_20,momentum_126,0.3392795551
distance_low_20,trend_efficiency_20,0.1194523855
distance_low_20,trend_efficiency_60,0.164311438
distance_low_20,positive_day_ratio_20,0.4892588179
distance_low_20,positive_day_ratio_60,0.2869531208
distance_low_20,reversal_1,-0.3066973636
distance_low_20,reversal_3,-0.4983721734
distance_low_20,reversal_5,-0.6000231623
distance_low_20,distance_high_20,0.4725541727
distance_low_20,distance_high_60,0.4113984283
distance_low_20,distance_low_20,1
distance_low_20,price_to_ma20,0.8312243458
distance_low_20,price_to_ma60,0.6608021746
distance_low_20,volume_ratio_5,0.02619380662
distance_low_20,volume_ratio_20,0.1824449499
distance_low_20,amount_ratio_20,0.2695861979
distance_low_20,volume_price_confirmation_20,-0.03399612791
